,Compounds,Smiles
54,ProtacDB 1210 928.839,NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2CCN(S(=O)(=O)CCNC(=O)CCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=NC=C1Br
55,ProtacDB 2186 832.915,O=C(CCCCCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCOC1=CC=C(NC2=NC=C3C=CC(=O)N(C4CC5CCC4C5)C3=N2)C=C1
56,ProtacDB 2044 963.376,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCOCCOCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
57,ProtacDB 2184 844.934,N#CCC1=CC=C(NC2=NC(NCCCNC(=O)CCCCCCNC(=O)COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=CC(NC3=CC(C4CC4)=N[NH]3)=N2)C=C1
58,ProtacDB 2172 861.982,CS(=O)(=O)C1=CC=C(C2=CC=CN3N=C(NC4=CC=CC(N5CCN(CCCCCCNC(=O)COC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)=C4)N=C23)C=C1
59,ProtacDB 2041 1035.483,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCCOCCOCCOCCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
60,ProtacDB 2188 975.526,CC(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(N3CCN(CCOCCOCCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2)=NC=C1Cl
61,ProtacDB 2046 1090.676,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
62,ProtacDB 1211 956.805,NC(=O)C1=C(F)C=CC=C1NC1=NC(NC2=CC=C(S(=O)(=O)NCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=NC=C1Br
63,ProtacDB 2171 941.081,CC1=CN=C(NC2=CC=C(N3CCN(CCOCCOCCNC(=O)COC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2)N=C1NC1=CC=CC(S(=O)(=O)NC(C)(C)C)=C1
64,ProtacDB 1212 970.832,CC1=CC(S(=O)(=O)NCCOCCOCCOCCOCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(Br)C(NC2=CC=CC(F)=C2C(N)=O)=N1
65,ProtacDB 2047 1178.782,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCOCCOCCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
66,ProtacDB 2178 912.018,CCC1=C2N=C(N3CCCC[C@H]3CCO)C=C(N(CC3=CC=C(N)N=C3)C(=O)CCOCCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N2N=C1
67,ProtacDB 2043 917.351,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCCCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
